VehicleInfo, Vin, InventoryStatus, VehicleSaleType, DateInStock, DaysInStock, StockNumber, Color, Mileage, Location, IsNoPrice, IsNoOdometer, IsNoPhotos, IsNoDescription, IsNeedsRepricing, IsNoAutoCheck, HasActiveDeposit, CustomStatus, InspectionStatus, EmissionStatus, IgnitionCode, ValetKeyCode, DoorKeyCode, AutoCheckScore, AutoCheckScoreLow, AutoCheckScoreHigh, NumOfOwners, NumOfAccident, Assured, HasOdomoter, HasTitleBrand, PurchaseType, PurchasedFrom, TitleStatus, MinDown, MinDeposit, VehiclePrice, PercentageOfMarket, MarketDaysSupply, AskingPrice, AdvertisingPrice, SpecialPrice, SpecialPriceStartDate, SpecialPriceEndDate, WholesalePrice, FloorPrice, BuyNowPrice, StartingBidPrice, BidIncrement, BookValue1, BookValue2, BookValue3, BelowMarketAvgPrice, BelowKelleyPrice, BelowNadaPrice, BelowBlackBookPrice, BelowManheimPrice
2018 PORSCHE PANAMERA 4 SEDAN 4D,WP0AA2A75JL108879,IN INVENTORY,BOTH,09/02/2025 00:00:00,8,108879,BLACK / RED,33382,,False,False,False,True,True,True,False,,,,,,,,,,0,0,,,,,,NOT RECEIVED,0,0,49500,100,70,49500,0,0,,,0,,,,,42125,48655,37994,3394,845,,,5000
2017 MERCEDES-BENZ C-CLASS C 300 COUPE 2D,WDDWJ4JB7HF584541,IN INVENTORY,BOTH,08/29/2025 00:00:00,12,584541,WHITE / BLACK,105361,,False,False,False,True,,True,False,,,,,,,,,,0,0,,,,,YU,NOT RECEIVED,0,0,14900,0,0,14900,0,0,,,0,,,,,11766,15758,9234,14900,858,,,4200
2022 LEXUS RX RX 350 SPORT UTILITY 4D,2T2HZMAA6NC241769,IN INVENTORY,BOTH,08/29/2025 00:00:00,12,241769,WHITE / BLACK,33978,,False,False,False,True,True,True,False,,,,,,,,,,0,0,,,,,,NOT RECEIVED,0,0,39900,100,39,41900,0,39900,09/09/2025 00:00:00,09/30/2025 00:00:00,0,,,,,39858,41768,35508,333,1868,,,1900
2020 MERCEDES-BENZ GLC GLC 300 4MATIC SPORT UTILITY 4D,WDC0G8EB9LF724740,IN INVENTORY,BOTH,08/28/2025 00:00:00,13,724740,BLACK / BLACK,56285,,False,False,False,True,True,True,False,,,,,,,,,,0,0,,,,FLOORING,,NOT RECEIVED,0,0,25500,100,52,25500,0,0,,,0,,,,,1688,,,,5300
2023 ROLLS-ROYCE CULLINAN SPORT UTILITY 4D,SLATV4C00PU219536,IN INVENTORY,BOTH,08/25/2025 00:00:00,16,219536,GREEN / WHITE,4809,,False,False,False,True,True,True,False,,,,,,,,,,0,0,,,,,,NOT RECEIVED,0,0,302999,100,45,329000,305000,302999,09/09/2025 00:00:00,09/30/2025 00:00:00,0,,,,,8517,79321,,,7999
2023 TOYOTA SIENNA LIMITED MINIVAN 4D,5TDZSKFC7PS090219,IN INVENTORY,BOTH,08/23/2025 00:00:00,18,090219,GRAY / GRAY,24500,,False,False,False,True,,True,False,,,,,,,,,,0,0,,,,,,NOT RECEIVED,0,0,49900,0,0,52500,50800,49900,09/09/2025 00:00:00,09/30/2025 00:00:00,0,,,,,51303,53443,46772,49900,3543,,,3900
2023 KIA SPORTAGE PLUG-IN HYBRID X-LINE PRESTIGE SPORT UTILITY 4D,KNDPZDAH4P7097382,IN INVENTORY,BOTH,08/22/2025 00:00:00,19,097382,WHITE / BLACK,48388,,False,False,False,True,True,True,False,,,,,,,,,,0,0,,,,,,NOT RECEIVED,0,0,29500,190,108,29500,0,0,,,0,,,,,25401,28021,22266,1112,1479,,,1800
2020 PORSCHE MACAN SPORT UTILITY 4D,WP1AA2A58LLB03711,IN INVENTORY,BOTH,08/19/2025 00:00:00,22,B03711,,60000,,False,False,False,True,True,True,False,,,,,,,,,,0,0,,,,,,NOT RECEIVED,0,0,31500,173,129,31500,0,0,,,0,,,,,28726,32289,24648,775,789,,,5700
2019 MERCEDES-BENZ MERCEDES-AMG C-CLASS C 43 AMG SEDAN 4D,55SWF6EB8KU292165,IN INVENTORY,BOTH,08/27/2025 00:00:00,14,292165,WHITE / BLACK,86943,,False,False,False,True,True,True,False,,,,,,,,,,0,0,,,,TRADE-IN,MATTHEW RUIZ GARCIA,NOT RECEIVED,0,0,26900,97,68,27500,26900,0,,,0,,,,,24732,30984,21162,2035,4084,,,
2019 MERCEDES-BENZ G-CLASS G 550 SPORT UTILITY 4D,WDCYC6BJ9KX310672,IN INVENTORY,BOTH,08/27/2025 00:00:00,14,310672,YELLOW / BLACK,70033,,False,False,False,True,False,False,False,,,,,,,92,85,90,2,0,True,True,,,SHAMIL IANDARBAEV,NOT RECEIVED,0,0,94900,99,45,97900,94900,0,,,0,,,,,84167,85770,76398,2096,9130,,,
